Supernova	z	Distance Modulus	Uncertainty in Distance Modulus	Status	HST			
SN1990T	0.04	36.38	0.19	gold				
SN1990af	0.05	36.84	0.21	gold				
SN1990O	0.0307	35.9	0.2	gold				
SN1991S	0.056	37.31	0.18	gold				
SN1991U	0.0331	35.54	0.2	gold				
SN1991ag	0.0141	34.13	0.25	gold				
SN1992J	0.046	36.35	0.21	gold				
SN1992P	0.0265	35.64	0.2	gold				
SN1992aq	0.101	38.73	0.2	gold				
SN1992ae	0.075	37.77	0.19	gold				
SN1992au	0.061	37.3	0.22	gold				
SN1992al	0.0141	34.12	0.25	gold				
SN1992ag	0.0262	35.06	0.24	gold				
SN1992bl	0.043	36.53	0.19	gold				
SN1992bh	0.045	36.97	0.18	gold				
SN1992bg	0.036	36.17	0.19	gold				
SN1992bk	0.058	37.13	0.19	gold				
SN1992bs	0.063	37.67	0.19	gold				
SN1992bc	0.0186	34.96	0.22	gold				
SN1992bp	0.079	37.94	0.18	gold				
SN1992br	0.088	38.07	0.28	gold				
SN1992bo	0.0178	34.7	0.23	gold				
SN1993B	0.071	37.78	0.19	gold				
SN1993H	0.0251	35.09	0.21	gold				
SN1993O	0.052	37.16	0.18	gold				
SN1993ah	0.0286	35.53	0.21	gold				
SN1993ac	0.049	36.9	0.2	gold				
SN1993ag	0.05	37.08	0.19	gold				
SN1993ae	0.018	34.29	0.23	gold			
SN1994M	0.0244	35.09	0.2	gold				
SN1994Q	0.029	35.7	0.19	gold				
SN1994S	0.0161	34.5	0.24	gold				
SN1994T	0.036	36.01	0.2	gold			
SN1995K	0.478	42.48	0.23	gold			
SN1995az	0.45	42.13	0.21	gold				
SN1995ay	0.48	42.37	0.2	gold				
SN1995ax	0.615	42.85	0.23	gold				
SN1995aw	0.4	42.04	0.19	gold			
SN1995ac	0.049	36.52	0.2	gold				
SN1995ak	0.0219	34.7	0.22	gold				
SN1995ba	0.388	42.07	0.19	gold				
SN1995bd	0.0152	34.11	0.25	gold				
SN1996C	0.0276	35.9	0.2	gold				
SN1996E	0.425	41.7	0.4	gold				
SN1996H	0.62	43.11	0.3	gold				
SN1996I	0.57	42.81	0.25	gold				
SN1996J	0.3	41.01	0.25	gold				
SN1996K	0.38	42.02	0.22	gold			
SN1996U	0.43	42.33	0.34	gold			
SN1996ab	0.124	39.2	0.22	gold				
SN1996bo	0.0165	33.82	0.27	gold				
SN1996bv	0.0167	34.21	0.23	gold				
SN1996bl	0.0348	36.17	0.19	gold			
SN1996cl	0.828	43.96	0.46	gold				
SN1996ci	0.495	42.25	0.19	gold			
SN1997E	0.0132	34.02	0.26	gold				
SN1997F	0.58	43.04	0.21	gold				
SN1997H	0.526	42.56	0.18	gold				
SN1997I	0.172	39.79	0.18	gold				
SN1997N	0.18	39.98	0.18	gold				
SN1997P	0.472	42.46	0.19	gold				
SN1997Q	0.43	41.99	0.18	gold				
SN1997R	0.657	43.27	0.2	gold				
SN1997Y	0.0166	34.54	0.23	gold				
SN1997ai	0.45	42.1	0.23	gold				
SN1997ac	0.32	41.45	0.18	gold				
SN1997aj	0.581	42.63	0.19	gold				
SN1997aw	0.44	42.57	0.4	gold				
SN1997as	0.508	41.64	0.35	gold				
SN1997am	0.416	42.1	0.19	gold				
SN1997ap	0.83	43.85	0.19	gold				
SN1997af	0.579	42.86	0.19	gold				
SN1997bh	0.42	41.76	0.23	gold				
SN1997bb	0.518	42.83	0.3	gold				
SN1997bj	0.334	40.92	0.3	gold			
SN1997cn	0.0175	34.52	0.25	gold				
SN1997cj	0.5	42.74	0.2	gold				
SN1997ce	0.44	42.08	0.19	gold				
SN1997dg	0.0297	36.12	0.2	gold				
SN1997do	0.0104	33.73	0.33	gold				
SN1997ez	0.778	43.81	0.35	gold				
SN1997ek	0.86	44.03	0.3	gold				
SN1997eq	0.538	42.66	0.18	gold				
SN1997ff	1.755	45.53	0.35	gold	Yes			
SN1998I	0.886	42.91	0.81	gold				
SN1998J	0.828	43.61	0.61	gold				
SN1998M	0.63	42.62	0.24	gold				
SN1998V	0.017	34.47	0.23	gold				
SN1998ac	0.46	41.83	0.4	gold				
SN1998bi	0.74	43.35	0.3	gold			
SN1998ba	0.43	42.36	0.25	gold				
SN1998bp	0.0104	33.21	0.32	gold				
SN1998co	0.0171	34.68	0.24	gold				
SN1998cs	0.0327	36.08	0.19	gold				
SN1998dx	0.053	36.97	0.18	gold				
SN1998ef	0.017	34.18	0.23	gold				
SN1998eg	0.0234	35.36	0.2	gold				
SN1999Q	0.46	42.56	0.27	gold				
SN1999U	0.5	42.75	0.19	gold				
SN1999X	0.0257	35.41	0.2	gold				
SN1999aa	0.0157	34.58	0.24	gold				
SN1999cc	0.0316	35.85	0.19	gold				
SN1999cp	0.0104	33.56	0.31	gold			
SN1999dk	0.0141	34.43	0.26	gold				
SN1999dq	0.0136	33.73	0.26	gold				
SN1999ef	0.038	36.67	0.18	gold				
